age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income50k
39,Official,Bachelors,13,Never-married,Tech-Sales-AdmSupport,Not-in-family,White,Male,2174,0,40,United-States,0
50,Self-employed,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,13,United-States,0
38,Private,HS-grad,9,Divorced,Operator-Fabricator-Laborer,Not-in-family,White,Male,0,0,40,United-States,0
53,Private,MS-grad,7,Married,Operator-Fabricator-Laborer,Husband,Black,Male,0,0,40,United-States,0
28,Private,Bachelors,13,Married,Managerial-ProfSpecialty,Wife,Black,Female,0,0,40,Latin-America,0
37,Private,Masters,14,Married,Managerial-ProfSpecialty,Wife,White,Female,0,0,40,United-States,0
49,Private,other,5,other,Service,Not-in-family,Black,Female,0,0,16,Latin-America,0
52,Self-employed,HS-grad,9,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,45,United-States,1
31,Private,Masters,14,Never-married,Managerial-ProfSpecialty,Not-in-family,White,Female,14084,0,50,United-States,1
42,Private,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,5178,0,40,United-States,1
37,Private,Some-college,10,Married,Managerial-ProfSpecialty,Husband,Black,Male,0,0,80,United-States,1
30,Official,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,Asian-Pac-Islander,Male,0,0,40,Asia,1
23,Private,Bachelors,13,Never-married,Tech-Sales-AdmSupport,Own-child,White,Female,0,0,30,United-States,0
32,Private,Some-school,12,Never-married,Tech-Sales-AdmSupport,Not-in-family,Black,Male,0,0,50,United-States,0
40,Private,Some-school,11,Married,PrecisionProduction-Craft-Repair,Husband,Asian-Pac-Islander,Male,0,0,40,,1
34,Private,other,4,Married,Operator-Fabricator-Laborer,Husband,Amer-Indian-Eskimo,Male,0,0,45,Latin-America,0
25,Self-employed,HS-grad,9,Never-married,Farming-Forestry-Fishing,Own-child,White,Male,0,0,35,United-States,0
32,Private,HS-grad,9,Never-married,Operator-Fabricator-Laborer,Unmarried,White,Male,0,0,40,United-States,0
38,Private,MS-grad,7,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,50,United-States,0
43,Self-employed,Masters,14,Divorced,Managerial-ProfSpecialty,Unmarried,White,Female,0,0,45,United-States,1
40,Private,Doctorate,16,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,60,United-States,1
54,Private,HS-grad,9,other,Service,Unmarried,Black,Female,0,0,20,United-States,0
35,Official,other,5,Married,Farming-Forestry-Fishing,Husband,Black,Male,0,0,40,United-States,0
43,Private,MS-grad,7,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,2042,40,United-States,0
59,Private,HS-grad,9,Divorced,Tech-Sales-AdmSupport,Unmarried,White,Female,0,0,40,United-States,0
56,Official,Bachelors,13,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,40,United-States,1
19,Private,HS-grad,9,Never-married,PrecisionProduction-Craft-Repair,Own-child,White,Male,0,0,40,United-States,0
54,,Some-college,10,Married,,Husband,Asian-Pac-Islander,Male,0,0,60,Asia,1
39,Private,HS-grad,9,Divorced,Managerial-ProfSpecialty,Not-in-family,White,Male,0,0,80,United-States,0
49,Private,HS-grad,9,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,0,0,40,United-States,0
23,Official,Some-school,12,Never-married,Service,Not-in-family,White,Male,0,0,52,United-States,0
20,Private,Some-college,10,Never-married,Tech-Sales-AdmSupport,Own-child,Black,Male,0,0,44,United-States,0
45,Private,Bachelors,13,Divorced,Managerial-ProfSpecialty,Own-child,White,Male,0,1408,40,United-States,0
30,Official,Some-college,10,Married,Tech-Sales-AdmSupport,Own-child,White,Male,0,0,40,United-States,0
